Affordability Data: 1-Yr Change,Affordability Data: Foreclosures,Affordability Data: Homes For Sale,Affordability Data: Homes For Sale By Owner,Affordability Data: Homes Recently Sold,Affordability Data: Median 2-Bedroom Home Value,Affordability Data: Median 3-Bedroom Home Value,Affordability Data: Median 4-Bedroom Home Value,Affordability Data: Median Condo Value,Affordability Data: Median List Price,Affordability Data: Median List Price Per Sq Ft,Affordability Data: Median Sale Price,Affordability Data: Median Single Family Home Value,Affordability Data: Median Value Per Sq Ft,Affordability Data: New Construction,Affordability Data: Percent Homes Decreasing,Affordability Data: Percent Listing Price Reduction,Affordability Data: Property Tax,Affordability Data: Turnover (Sold Within Last Yr),Affordability Data: Zillow Home Value Index,BuiltYear: 1900-1919,BuiltYear: 1920-1939,BuiltYear: 1940-1959,BuiltYear: 1960-1979,BuiltYear: 1980-1999,BuiltYear: <1900,BuiltYear: >2000,Census Summary-AgeDecade: 0s,Census Summary-AgeDecade: 10s,Census Summary-AgeDecade: 20s,Census Summary-AgeDecade: 30s,Census Summary-AgeDecade: 40s,Census Summary-AgeDecade: 50s,Census Summary-AgeDecade: 60s,Census Summary-AgeDecade: >=70s,Census Summary-CommuteTime: 10-20min,Census Summary-CommuteTime: 20-30min,Census Summary-CommuteTime: 30-45min,Census Summary-CommuteTime: 45-60min,Census Summary-CommuteTime: <10min,Census Summary-CommuteTime: >=60min,Census Summary-HomeSize: 1000-1400sqft,Census Summary-HomeSize: 1400-1800sqft,Census Summary-HomeSize: 1800-2400sqft,Census Summary-HomeSize: 2400-3600sqft,Census Summary-HomeSize: <1000sqft,Census Summary-HomeSize: >3600sqft,Census Summary-HomeType: Condo,Census Summary-HomeType: Other,Census Summary-HomeType: SingleFamily,Census Summary-Household: NoKids,Census Summary-Household: WithKids,Census Summary-Occupancy: Own,Census Summary-Occupancy: Rent,Census Summary-RelationshipStatus: Divorced-Female,Census Summary-RelationshipStatus: Divorced-Male,Census Summary-RelationshipStatus: Married-Female,Census Summary-RelationshipStatus: Married-Male,Census Summary-RelationshipStatus: Single-Female,Census Summary-RelationshipStatus: Single-Male,Census Summary-RelationshipStatus: Widowed-Female,Census Summary-RelationshipStatus: Widowed-Male,Homes & Real Estate Data: Avg Year Built,Homes & Real Estate Data: Condos,Homes & Real Estate Data: Median Home Size (Sq Ft),Homes & Real Estate Data: Owners,Homes & Real Estate Data: Renters,Homes & Real Estate Data: Single-Family Homes,People Data: Average Commute Time (Minutes),People Data: Average Household Size,People Data: Homes With Kids,People Data: Median Age,People Data: Median Household Income,People Data: Single Females,People Data: Single Males,city,id_x,latitude,longitude,name,state,url,zindex,id_y
0.163,,0.0,,0.0,451200.0,611700.0,732000.0,392800.0,0.0,382.0,370000.0,692700.0,0.0,,0.033,0.0,4112.0,0.06,589300.0,0.377918480412,0.262762168579,0.0455085081123,0.0969529085872,0.0973486347447,0.0055401662049,0.11396913336,0.0427530669327,0.120134367072,0.459740935354,0.151568787132,0.0922533604892,0.0674236647329,0.0289596382287,0.0371661800589,0.343027233923,0.249038433054,0.185863204249,0.0787118727525,0.0969116825243,0.0464475734977,,,,,,,,,,0.881493879493,0.118506120507,0.2782266,0.7217734,0.0354004805226,0.0308617012661,0.111839843785,0.125119185811,0.307340658154,0.369131099893,0.0177064492617,0.00260058130641,1922.0,0.249622896546,1520.0,0.2782266,0.7217734,0.648794248438,25.2900951055,2.12089908069,0.118506120507,31.0,36936.4891832,0.307340658154,0.369131099893,Seattle,272001.0,47.660897,-122.305045,University District,Washington,http://www.zillow.com/local-info/WA-Seattle/University-District/r_272001/,514200.0,272001
0.073,,0.0,,0.0,544300.0,727500.0,919400.0,356000.0,0.0,395.0,678300.0,760400.0,0.0,,0.052,0.0,5423.0,0.068,699500.0,0.0562882392929,0.203399048266,0.439836845683,0.139496940856,0.0677090414683,0.0031271244051,0.0901427600271,0.0981147513945,0.0753361017468,0.150640258803,0.191226509278,0.171952201643,0.137648722914,0.0601851237463,0.114896330475,0.337774531463,0.248676529281,0.160924483119,0.0929222598851,0.121295195453,0.0384070007982,0.16301369863,0.204383561644,0.21602739726,0.209315068493,0.127397260274,0.0738356164383,0.145265376004,0.0723034373764,0.782431186619,0.799169806496,0.200830193504,0.63411396,0.36588604,0.0630157033721,0.0403851984845,0.273071952278,0.262924739795,0.122991110498,0.182546175729,0.0431497972989,0.011915322545,1947.0,0.145265376004,1820.0,0.63411396,0.36588604,0.782431186619,24.4354380277,2.08199391011,0.200830193504,39.0,63005.4734134,0.122991110498,0.182546175729,Seattle,271990.0,47.650943,-122.409136,Magnolia,Washington,http://www.zillow.com/local-info/WA-Seattle/Magnolia/r_271990/,662000.0,271990
0.095,,0.0,,0.0,406800.0,490000.0,579900.0,295500.0,0.0,357.0,418300.0,496500.0,0.0,,0.035,0.0,3595.0,0.07,455100.0,0.202078718691,0.263588345544,0.161697052309,0.0918384733344,0.168853296984,0.0071562446754,0.104787868461,0.0844318877251,0.0824617071904,0.212971811956,0.229132566969,0.168916281047,0.0920715379986,0.0454353931184,0.0845788139952,0.271956797041,0.266587613787,0.20242588851,0.122509244445,0.0905863882809,0.0459340679364,0.290595340811,0.203278688524,0.12528041415,0.0515962036238,0.300258843831,0.0219154443485,0.227617602428,0.0748609003539,0.697521497218,0.822343834338,0.177656165662,0.53467331,0.46532669,0.066160558684,0.0571342746535,0.19739905857,0.204676915367,0.19546886143,0.226382415248,0.0411324429903,0.0116454730566,1940.0,0.227617602428,1280.0,0.53467331,0.46532669,0.697521497218,27.0475051388,2.11020963469,0.177656165662,36.0,47339.3036922,0.19546886143,0.226382415248,Seattle,250788.0,47.694211,-122.355281,Greenwood,Washington,http://www.zillow.com/local-info/WA-Seattle/Greenwood/r_250788/,421400.0,250788
0.105,,0.0,,0.0,571500.0,699800.0,775100.0,418600.0,0.0,441.0,608500.0,700100.0,0.0,,0.013,0.0,4987.0,0.05,666400.0,0.457262716308,0.258171648313,0.0396783779059,0.0197517916448,0.0800559342772,0.0267435762978,0.118335955253,0.0625905610763,0.067594926858,0.312791685054,0.219485481716,0.157057252002,0.0989469944135,0.032294937394,0.0492381614865,0.336341966049,0.267789361932,0.197009920859,0.0811631606611,0.0853789996049,0.032316590894,0.226625833183,0.259232570708,0.222662583318,0.112592325707,0.146099801837,0.0270221581696,0.159445407279,0.116464471404,0.724090121317,0.855807750816,0.144192249184,0.43378256,0.56621744,0.0463787556117,0.0420552445929,0.169053112997,0.170329072052,0.260353824222,0.287997712744,0.0197927634563,0.00403951432513,1919.0,0.159445407279,1600.0,0.43378256,0.56621744,0.724090121317,25.1271397192,2.03745951447,0.144192249184,35.0,52587.4954205,0.260353824222,0.287997712744,Seattle,252248.0,47.658763,-122.334464,Wallingford,Washington,http://www.zillow.com/local-info/WA-Seattle/Wallingford/r_252248/,608500.0,252248
0.106,,0.0,,0.0,326300.0,393800.0,438300.0,367200.0,0.0,249.0,365900.0,397200.0,0.0,,0.017,0.0,2877.0,0.043,395500.0,0.110693301998,0.116568742656,0.440423031727,0.121974148061,0.113278495887,0.0061104582843,0.0909518213866,0.125334214112,0.127391878122,0.142991037313,0.156691828794,0.145237767065,0.108579792084,0.0886402478723,0.105133234638,0.324150672317,0.234588935977,0.226951951177,0.0781877355303,0.0623911176226,0.0737295873754,0.224764150943,0.214858490566,0.260613207547,0.120518867924,0.164622641509,0.0127358490566,0.0173618462841,0.125344060978,0.857294092738,0.693811230785,0.306188769215,0.70181959,0.29818041,0.0466593728902,0.038841266079,0.258024797618,0.266052362844,0.15182762181,0.173948175281,0.0542811811695,0.0103652223078,1950.0,0.0173618462841,1610.0,0.70181959,0.29818041,0.857294092738,27.8811172744,3.10742637289,0.306188769215,37.0,45964.5734678,0.15182762181,0.173948175281,Seattle,250050.0,47.556114,-122.302828,Beacon Hill,Washington,http://www.zillow.com/local-info/WA-Seattle/Beacon-Hill/r_250050/,361900.0,250050
0.143,,0.0,,0.0,490600.0,626500.0,707300.0,440000.0,0.0,419.0,554400.0,637300.0,0.0,,0.022,0.0,4202.0,0.081,567100.0,0.255018990776,0.141345632122,0.103092783505,0.133749321758,0.157352143245,0.0290287574606,0.180412371134,0.0524044049236,0.0441895745116,0.290058145064,0.271084659193,0.158815035191,0.0949717374546,0.0295064727751,0.0589699708866,0.348751296852,0.251956081496,0.210640376268,0.0684872349708,0.0956132368032,0.0245517736102,0.232768361582,0.195480225989,0.148870056497,0.0870056497175,0.255649717514,0.0646892655367,0.4025869038,0.185125303153,0.412287793048,0.890115473879,0.109884526121,0.31936577,0.68063423,0.0656970834531,0.0514425750256,0.153779246263,0.153177003752,0.265422160861,0.280708947111,0.0261828458758,0.00359013765883,1952.0,0.4025869038,1420.0,0.31936577,0.68063423,0.412287793048,24.3970196176,1.77517508576,0.109884526121,36.0,44354.0479287,0.265422160861,0.280708947111,Seattle,250692.0,47.656187,-122.352184,Fremont,Washington,http://www.zillow.com/local-info/WA-Seattle/Fremont/r_250692/,505400.0,250692
0.141,,0.0,,0.0,524400.0,652400.0,744100.0,426800.0,0.0,395.0,570500.0,657600.0,0.0,,0.034,0.0,4772.0,0.05,646900.0,0.195673549656,0.383972468043,0.260078662733,0.0412979351032,0.034169124877,0.0039331366764,0.0808751229105,0.0911577637055,0.0944356686118,0.262371094973,0.175225437898,0.148969981087,0.106085192259,0.0430424755454,0.0787123859206,0.296284691448,0.257870234038,0.200891196008,0.102334954709,0.0936426129152,0.0489763108825,0.225487774759,0.234131884416,0.254877747592,0.130649543097,0.132378365028,0.0167942701901,0.0700900462399,0.0428328060354,0.887077147724,0.77614076513,0.22385923487,0.55190993,0.44809007,0.0538175071495,0.0311064185435,0.20544230355,0.210039617226,0.210746874334,0.242292479024,0.0371301432865,0.00942465688627,1928.0,0.0700900462399,1630.0,0.55190993,0.44809007,0.887077147724,26.5186233991,2.22140999127,0.22385923487,35.0,51701.0901186,0.210746874334,0.242292479024,Seattle,251709.0,47.675777,-122.301115,Ravenna,Washington,http://www.zillow.com/local-info/WA-Seattle/Ravenna/r_251709/,573300.0,251709
0.09,,0.0,,0.0,447800.0,554900.0,663600.0,315000.0,0.0,439.0,352600.0,564600.0,0.0,,0.112,0.0,2184.0,0.082,316700.0,0.0585276634659,0.0466392318244,0.163694558756,0.193872885231,0.347050754458,0.0109739368998,0.179240969364,0.0188235219,0.0661653403227,0.325631732649,0.211952339412,0.123268496651,0.0835254277329,0.0516181502271,0.119014991105,0.360984674233,0.205308035448,0.145225968002,0.0512073962656,0.167865147008,0.0694087790425,,,,,,,0.922903516682,0.0698827772767,0.0072137060414,0.965107821676,0.0348921783237,0.13148541,0.86851459,0.0485247969822,0.0796206229115,0.0995995383798,0.108133339222,0.241535279649,0.3589609506,0.0481555467735,0.0154699254817,1980.0,0.922903516682,1520.0,0.13148541,0.86851459,0.0072137060414,23.769482727,1.37766055505,0.0348921783237,39.0,27589.5014813,0.241535279649,0.3589609506,Seattle,271869.0,47.60819,-122.323829,First Hill,Washington,http://www.zillow.com/local-info/WA-Seattle/First-Hill/r_271869/,296000.0,271869
0.121,,0.0,,0.0,481000.0,602000.0,693000.0,327400.0,0.0,372.0,607800.0,606800.0,0.0,,0.024,0.0,4361.0,0.065,584500.0,0.247870909906,0.247422680412,0.247870909906,0.0533393097265,0.0898700134468,0.0056028686687,0.108023307934,0.0852877177906,0.0832885568889,0.114097173472,0.213595232597,0.186332726398,0.132153382017,0.0615172222166,0.123727988621,0.263583335627,0.300083376265,0.170991623772,0.122237845658,0.0949076468202,0.0481961718584,0.214543812105,0.212962962963,0.214543812105,0.156278229449,0.157407407407,0.0383920505871,0.108700231725,0.0998525384452,0.791447229829,0.782643074009,0.217356925991,0.63867492,0.36132508,0.0692926495111,0.0502347776983,0.250431067685,0.260938664559,0.137317940374,0.160447594292,0.0616626266522,0.00967467922923,1938.0,0.108700231725,1640.0,0.63867492,0.36132508,0.791447229829,26.7647843024,2.0304279002,0.217356925991,40.0,58771.9365,0.137317940374,0.160447594292,Seattle,344019.0,47.581725,-122.387362,Admiral,Washington,http://www.zillow.com/local-info/WA-Seattle/Admiral/r_344019/,530100.0,344019
0.1,,0.0,,0.0,428600.0,540300.0,597900.0,243100.0,0.0,325.0,457800.0,532900.0,0.0,,0.047,0.0,4081.0,0.06,509100.0,0.0561140986672,0.354687865326,0.278232405892,0.114566284779,0.122281973346,,0.0731821370119,0.0863542583278,0.0780201206011,0.20169275484,0.204758038161,0.179661836137,0.103863148197,0.0482623578316,0.0973874859044,0.293861236087,0.292143920451,0.194192871489,0.102098841736,0.0606956844547,0.0570074457821,0.262972528763,0.216247945527,0.216952336229,0.088988025358,0.19652500587,0.0119746419347,0.164938954158,0.039161483529,0.795899562313,0.799209541727,0.200790458273,0.58462983,0.41537017,0.0655973004178,0.0421896856906,0.223175367007,0.218640429891,0.19024732427,0.206027757796,0.046348594591,0.00777354033682,1941.0,0.164938954158,1470.0,0.58462983,0.41537017,0.795899562313,27.4788037776,2.09862866659,0.200790458273,38.0,50372.7197026,0.19024732427,0.206027757796,Seattle,344000.0,47.695035,-122.316628,Maple Leaf,Washington,http://www.zillow.com/local-info/WA-Seattle/Maple-Leaf/r_344000/,468500.0,344000
